Ensembl.ID	Gene.Symbol	GNF.GeneAtlas.Specificity
ENSMUSG00000000028	Cdc45	TRE
ENSMUSG00000000037	Scml2	TRE
ENSMUSG00000000049	Apoh	TRE
ENSMUSG00000000093	Tbx2	TRE
ENSMUSG00000000094	Tbx4	TRE
ENSMUSG00000000120	Ngfr	TRE
ENSMUSG00000000154	Slc22a18	TRE
ENSMUSG00000000157	Itgb2l	TRE
ENSMUSG00000000167	Pih1d2	TRE
ENSMUSG00000000197	Nalcn	TRE
ENSMUSG00000000204	Slfn4	TRE
ENSMUSG00000000215	Ins2	TRE
ENSMUSG00000000223	Drp2	TRE
ENSMUSG00000000247	Lhx2	TRE
ENSMUSG00000000248	Clec2g	TRE
ENSMUSG00000000263	Glra1	TRE
ENSMUSG00000000301	Pemt	TRE
ENSMUSG00000000305	Cdh4	TRE
ENSMUSG00000000317	Bcl6b	TRE
ENSMUSG00000000318	Clec10a	TRE
ENSMUSG00000000320	Alox12	TRE
ENSMUSG00000000325	Arvcf	TRE
ENSMUSG00000000365	Rnf17	TRE
ENSMUSG00000000392	Fap	TRE
ENSMUSG00000000402	Egfl6	TRE
ENSMUSG00000000409	Lck	TRE
ENSMUSG00000000411	Tssk3	TRE
ENSMUSG00000000486	Sept1	TRE
ENSMUSG00000000530	Acvrl1	TRE
ENSMUSG00000000531	Grasp	TRE
ENSMUSG00000000555	Itga5	TRE
ENSMUSG00000000560	Gabra2	TRE
ENSMUSG00000000562	Adora3	TRE
ENSMUSG00000000627	Sema4f	TRE
ENSMUSG00000000632	Sez6	TRE
ENSMUSG00000000673	Haao	TRE
ENSMUSG00000000686	Abhd15	TRE
ENSMUSG00000000690	Hoxb6	TRE
ENSMUSG00000000693	Loxl3	TRE
ENSMUSG00000000706	Btn1a1	TRE
ENSMUSG00000000724	Cryba1	TRE
ENSMUSG00000000730	Dnmt3l	TRE
ENSMUSG00000000732	Icosl	TRE
ENSMUSG00000000739	Sult5a1	TRE
ENSMUSG00000000782	Tcf7	TRE
ENSMUSG00000000792	Slc5a5	TRE
ENSMUSG00000000811	Txnrd3	TRE
ENSMUSG00000000817	Fasl	TRE
ENSMUSG00000000823	Znf512b	TRE
ENSMUSG00000000861	Bcl11a	TRE
ENSMUSG00000000869	Il4	TRE
ENSMUSG00000000884	Gnb1l	TRE
ENSMUSG00000000889	Dbh	TRE
ENSMUSG00000000901	Mmp11	TRE
ENSMUSG00000000903	Vpreb3	TRE
ENSMUSG00000000938	Hoxa10	TRE
ENSMUSG00000000942	Hoxa4	TRE
ENSMUSG00000000958	Slc7a7	TRE
ENSMUSG00000000982	Ccl3	TRE
ENSMUSG00000001014	Icam4	TRE
ENSMUSG00000001027	Scn4a	TRE
ENSMUSG00000001029	Icam2	TRE
ENSMUSG00000001039	B9d1	TRE
ENSMUSG00000001053	N4bp3	TRE
ENSMUSG00000001095	Slc13a2	TRE
ENSMUSG00000001120	Pcbp3	TRE
ENSMUSG00000001128	Cfp	TRE
ENSMUSG00000001131	Timp1	TRE
ENSMUSG00000001166	Oas1c	TRE
ENSMUSG00000001249	Hpn	TRE
ENSMUSG00000001281	Itgb7	TRE
ENSMUSG00000001313	Rnd2	TRE
ENSMUSG00000001333	Sync	TRE
ENSMUSG00000001334	Fndc5	TRE
ENSMUSG00000001420	Tmem79	TRE
ENSMUSG00000001444	Tbx21	TRE
ENSMUSG00000001493	Meox1	TRE
ENSMUSG00000001497	Pax9	TRE
ENSMUSG00000001507	Itga3	TRE
ENSMUSG00000001517	Foxm1	TRE
ENSMUSG00000001520	Nrip2	TRE
ENSMUSG00000001555	Fkbp10	TRE
ENSMUSG00000001558	Klhl10	TRE
ENSMUSG00000001604	Tcea3	TRE
ENSMUSG00000001739	Cldn15	TRE
ENSMUSG00000001750	Tcirg1	TRE
ENSMUSG00000001763	Tspan33	TRE
ENSMUSG00000001827	Folr1	TRE
ENSMUSG00000001865	Cpa3	TRE
ENSMUSG00000001943	Vsig2	TRE
ENSMUSG00000001948	Spa17	TRE
ENSMUSG00000001985	Grik3	TRE
ENSMUSG00000001986	Gria3	TRE
ENSMUSG00000002006	Pdzd4	TRE
ENSMUSG00000002007	Srpk3	TRE
ENSMUSG00000002020	Ltbp2	TRE
