"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_name","celltype"
6.66213116197987e-22,0.914333927346364,0.152,0.017,1.3843242341478e-17,2,"ENSMUSG00000061928","Dsg1b","TC I"
2.17814332329921e-28,0.919995826000299,0.798,0.714,4.52596401148342e-24,2,"ENSMUSG00000030774","Pak1","TC I"
2.00379513160288e-19,0.926179205939421,0.554,0.304,4.16368590395762e-15,2,"ENSMUSG00000090386","Mir99ahg","TC I"
5.26452687154951e-25,0.926549855828729,0.827,0.703,1.09391603863927e-20,2,"ENSMUSG00000071757","Zhx2","TC I"
4.76653515985958e-32,0.933124186894762,0.656,0.428,9.90438340867222e-28,2,"ENSMUSG00000020111","Micu1","TC I"
3.23426016735005e-16,0.938015246130444,0.344,0.168,6.72046920173668e-12,2,"ENSMUSG00000032656","March3","TC I"
4.31905723098547e-50,0.947595592210675,0.276,0.018,8.9745690202647e-46,2,"ENSMUSG00000027239","Mdk","TC I"
2.46059280958396e-21,0.951403548583288,0.36,0.139,5.1128657990345e-17,2,"ENSMUSG00000057378","Ryr3","TC I"
6.71847159786209e-24,0.962309605918162,0.467,0.225,1.39603121331976e-19,2,"ENSMUSG00000028613","Lrp8","TC I"
3.20700431542934e-26,0.967737760085566,0.178,0.018,6.66383426703062e-22,2,"ENSMUSG00000063727","Tnfrsf11b","TC I"
1.30937597956345e-28,0.968785303045869,0.381,0.114,2.72075234793488e-24,2,"ENSMUSG00000020334","Slc22a4","TC I"
4.45975279751039e-44,0.973431231701575,0.205,0.004,9.26692033794685e-40,2,"ENSMUSG00000041565","L3mbtl4","TC I"
5.62737869967127e-25,0.975417427469655,0.433,0.22,1.16931302000469e-20,2,"ENSMUSG00000029291","Rufy3","TC I"
3.5821905792977e-41,0.977336803301165,0.63,0.323,7.4434338047227e-37,2,"ENSMUSG00000023367","Tmem176a","TC I"
9.00741336424414e-23,0.977713963824695,0.493,0.256,1.87165042295629e-18,2,"ENSMUSG00000026070","Il18r1","TC I"
1.77255762466539e-29,0.987929057489688,0.577,0.311,3.6831974882922e-25,2,"ENSMUSG00000033444","Specc1l","TC I"
3.09418742395681e-24,0.991168482827841,0.312,0.091,6.42941204823986e-20,2,"ENSMUSG00000049001","Ndnf","TC I"
1.16122670243637e-39,1.00290396776787,0.58,0.311,2.41291296499253e-35,2,"ENSMUSG00000029810","Tmem176b","TC I"
2.60549677686737e-40,1.04357470404099,0.693,0.364,5.41396175265271e-36,2,"ENSMUSG00000032624","Eml4","TC I"
5.04040168053935e-28,1.04428154602859,0.493,0.224,1.04734506519927e-23,2,"ENSMUSG00000052949","Rnf157","TC I"
7.74696698391793e-38,1.05041710975469,0.457,0.144,1.60974226958831e-33,2,"ENSMUSG00000059336","Slc14a1","TC I"
1.71915996865065e-41,1.05456193966464,0.331,0.053,3.57224249885919e-37,2,"ENSMUSG00000015340","Cybb","TC I"
7.79157636397329e-39,1.05894231285867,0.554,0.246,1.61901165267001e-34,2,"ENSMUSG00000009647","Mcu","TC I"
4.67454093747089e-27,1.06717106075746,0.344,0.139,9.71322861397077e-23,2,"ENSMUSG00000040570","Rundc3b","TC I"
2.43640335501797e-36,1.06836796107749,0.669,0.358,5.06260253139183e-32,2,"ENSMUSG00000032202","Rab27a","TC I"
8.84652012138607e-24,1.0724600131198,0.588,0.318,1.83821841602281e-19,2,"ENSMUSG00000044162","Tnip3","TC I"
1.19717217235193e-27,1.07510662374733,0.507,0.389,2.48760405693007e-23,2,"ENSMUSG00000034855","Cxcl10","TC I"
1.39302501755739e-38,1.07731258594939,0.761,0.562,2.8945666839825e-34,2,"ENSMUSG00000026786","Apbb1ip","TC I"
5.23128736113571e-24,1.08230485753027,0.27,0.07,1.08700920077039e-19,2,"ENSMUSG00000048915","Efna5","TC I"
6.75889298079886e-31,1.08518954485467,0.559,0.315,1.4044303724802e-26,2,"ENSMUSG00000025025","Mxi1","TC I"
6.8815779550509e-60,1.09538419555883,0.898,0.759,1.42992308328003e-55,2,"ENSMUSG00000024515","Smad4","TC I"
1.15524100318371e-13,1.0970933257076,0.31,0.155,2.40047528051543e-09,2,"ENSMUSG00000026073","Il1r2","TC I"
5.91349212614956e-28,1.099649676733,0.194,0.025,1.22876452889262e-23,2,"ENSMUSG00000028033","Kcnq5","TC I"
2.19420356092044e-38,1.10580265281813,0.577,0.251,4.55933557923658e-34,2,"ENSMUSG00000028413","B4galt1","TC I"
1.22088831927632e-45,1.11083091631953,0.772,0.404,2.53688383862427e-41,2,"ENSMUSG00000052889","Prkcb","TC I"
5.21945273479482e-36,1.11213934673449,0.682,0.455,1.08455008376302e-31,2,"ENSMUSG00000013275","Slc41a1","TC I"
3.34028143831669e-16,1.11572569702076,0.349,0.155,6.94077080067825e-12,2,"ENSMUSG00000061259","Tmprss11d","TC I"
1.90203172414385e-33,1.12054905268821,0.643,0.321,3.9522317195985e-29,2,"ENSMUSG00000025885","Myo5b","TC I"
6.40719743359591e-29,1.12319301059762,0.612,0.364,1.3313515547269e-24,2,"ENSMUSG00000026872","Zeb2","TC I"
9.31889746114762e-22,1.12694312973051,0.294,0.136,1.93637370345186e-17,2,"ENSMUSG00000046709","Mapk10","TC I"
8.91759267331008e-18,1.12978879241323,0.394,0.191,1.8529865815871e-13,2,"ENSMUSG00000002565","Scin","TC I"
2.95456518107245e-23,1.13297593531945,0.43,0.175,6.13929098975045e-19,2,"ENSMUSG00000037492","Zmat4","TC I"
4.59839543927353e-39,1.15051654087819,0.283,0.033,9.55500588326648e-35,2,"ENSMUSG00000062393","Dgkk","TC I"
1.2148068035854e-33,1.1600397960454,0.352,0.086,2.5242470571701e-29,2,"ENSMUSG00000035873","Pawr","TC I"
3.4533673349516e-24,1.16793187782062,0.551,0.281,7.17575198529593e-20,2,"ENSMUSG00000028970","Abcb1b","TC I"
1.65972145288018e-59,1.17273843840277,0.892,0.603,3.44873520693972e-55,2,"ENSMUSG00000035778","Ggta1","TC I"
2.58008172927372e-63,1.17362863341468,0.858,0.544,5.36115182525786e-59,2,"ENSMUSG00000020577","Tspan13","TC I"
4.34707233484956e-62,1.17789443537345,0.974,0.933,9.0327816045839e-58,2,"ENSMUSG00000028163","Nfkb1","TC I"
1.9744521647322e-41,1.17805250171525,0.69,0.414,4.10271415309704e-37,2,"ENSMUSG00000042700","Sipa1l1","TC I"
3.00025482896901e-33,1.1801889216538,0.37,0.259,6.23422950911471e-29,2,"ENSMUSG00000045083","Lingo2","TC I"
